HourOfDay,Count
00,920
01,725
02,722
03,1055
04,1626
05,2553
06,3669
07,4950
08,5680
09,6187
10,6512
11,6593
12,6598
13,6278
14,5875
15,5696
16,5338
17,5413
18,5335
19,4765
20,3728
21,2741
22,1872
23,1353
